"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Naylor, Josh",647304,"SEA",2026,-3.826195072800848,1.7387243945215376,0.706743264431182,-2.6133985621918834,-1.919539775040146,-1.6173019596647564,2.5074057875524174,0.8486205666338766,101,26,0.2574257425742574,0.3256541115296721,0.23991374745748972,3,23,0.2277227722772278,0.8846153846153846
"Springer, George",543807,"TOR",2026,-0.6239769485512356,1.0031109299401801,1.0786531527947818,-0.817517605413485,-0.8851124959325325,-0.9172605557887459,0.8529721284304401,1.067399357298486,70,24,0.342857142857143,0.35797171704724917,0.37839951193035753,1,23,0.32857142857142874,0.9583333333333334
"Alvarez, Yordan",670541,"HOU",2026,-2.972241694817634,1.4061388583195662,0.8268075630773536,-0.865992014213558,-2.933057243681429,-1.293976335983499,0.8037451132430207,1.8963700810600443,105,29,0.2761904761904763,0.3871405192881023,0.32650422735056733,1,28,0.2666666666666667,0.9655172413793104
"Stephenson, Tyler",663886,"CIN",2026,-1.0705386627885636,0.5246730414436119,0.21697559389323173,0,-1.2875142566817956,-0.29305972496778887,0,0.8177327664114008,60,14,0.23333333333333334,0.33430564188912726,0.291811932761671,0,14,0.23333333333333334,1
"Duran, Ezequiel",677649,"TEX",2026,0.528450248411855,0.3719787286991348,1.9533827700821902,-0.8247168554215561,-0.6002156662487789,-1.4444073547703238,0.9196797390945913,0.8967063443748673,64,29,0.453125,0.40054273891063047,0.4584173828740657,1,28,0.43749999999999994,0.9655172413793104
"Soto, Juan",665742,"NYM",2026,-0.607474576283049,0.05718872244829201,1.4000299086745969,-0.7824332651677162,-1.22507121978993,-1.7139962406834455,0.7752141712859567,0.995970791845781,63,22,0.3492063492063492,0.37146031534447926,0.33636223755264544,1,21,0.3333333333333334,0.9545454545454546
"Judge, Aaron",592450,"NYY",2026,0.2793135061639882,-0.6458992070716252,0.7921606657006596,0,-0.5128471595366714,-0.9835887854336793,0,0.33768957836205427,42,15,0.3571428571428571,0.3851159225689627,0.35267026073536206,0,15,0.3571428571428571,1
"Schneemann, Daniel",682177,"CLE",2026,-0.5940935069946598,0.8268195108048845,1.4755957968284175,-1.5829348042110636,-0.4867544996120141,-1.3140608011488184,1.6126591812385782,0.528221130715125,46,21,0.4565217391304348,0.3831310484344011,0.4045804965045367,2,19,0.4130434782608695,0.9047619047619048
"Burleson, Alec",676475,"STL",2026,-0.22851170871185758,-1.8876591587120952,1.7311292584879263,0,-1.9596409671997839,-2.8117931822122006,0,0.9241340235001058,96,38,0.3958333333333335,0.4466664125148683,0.3605305673270528,0,38,0.3958333333333335,1
"Caminero, Junior",691406,"TB",2026,-0.2880434283102785,-0.6251117538655919,1.06067598368265,0,-1.3487194119929289,-1.457166107405095,0,0.8320543535395033,79,23,0.2911392405063292,0.3463790495314629,0.2947121041215987,0,23,0.2911392405063292,1
"Fermín, José",665877,"STL",2026,0.22108701975262562,-0.21436228412615937,0.8862999654351055,0,-0.66521294568248,-0.9013708077472399,0,0.6870085236210804,44,14,0.3181818181818182,0.33148636021583106,0.33366085313399046,0,14,0.3181818181818182,1
"Dubón, Mauricio",643289,"ATL",2026,1.2000014392335385,-0.9750185337873452,2.0669503855072433,0,-0.866948946273705,-1.9985818473360557,0,1.0235633135487106,89,28,0.31460674157303387,0.29823803276149613,0.310228423703582,0,28,0.31460674157303387,1
"Hicks, Liam",689414,"MIA",2026,-4.525339925329974,2.590705038408997,1.4207254759075802,-3.476702849993969,-2.469362551243585,-1.997073381830072,3.315088265212219,1.2726901550268492,93,22,0.2365591397849463,0.31397562336918194,0.22026589068316463,4,18,0.1935483870967742,0.8181818181818182
"Mead, Curtis",678554,"MLB",2026,-0.6217271492524256,0.1093426879266317,1.5796096990178219,-0.788496152758687,-1.4128406955115607,-1.7689428121413824,0.765656323863258,1.1126291762047562,60,25,0.41666666666666663,0.4378537547588065,0.3981833810407274,1,24,0.4,0.96
"Lee, Brooks",686797,"MIN",2026,0.49967602248421655,-1.5667837972329781,1.2495849061009126,0,-0.7499088836166964,-1.9574170528362653,0,0.3906332556032875,75,25,0.3333333333333334,0.3380293584480006,0.28208439328743506,0,25,0.3333333333333334,1
"Hedges, Austin",595978,"CLE",2026,-0.6551905645879051,-0.609327845661921,0.4343795016010974,0,-1.089570066189002,-0.9377047617483949,0,0.32837691608647385,38,10,0.26315789473684215,0.3733303906720165,0.24021600255279893,0,10,0.26315789473684215,1
