"last_name, first_name",player_id,team_id,team,position,age,competitive_runs,bolts,hp_to_1b,sprint_speed,runner_runs_tot,runner_runs_per_run,pos_group
"Bolte, Henry",703607,133,ATH,CF,22,100,64.0,4.16,30.6,0.8667455871192868,0.008667455871192869,OF
"Mateo, Jorge",622761,144,ATL,SS,31,51,28.0,4.12,30.3,1.2515732680877507,0.024540652315446092,IF
"Witt Jr., Bobby",677951,118,KC,SS,26,144,71.0,4.16,30.3,4.384254221165792,0.03044620986920689,IF
"Griffin, Konnor",804606,134,PIT,SS,20,108,48.0,4.27,29.9,4.839193663009572,0.044807348731570114,IF
"McCarthy, Jake",664983,115,COL,CF,28,168,63.0,4.18,29.9,2.111682978448357,0.012569541538383078,OF
"Acuña, Luisangel",682668,145,CWS,SS,24,88,38.0,4.21,29.8,1.1353966773913056,0.012902234970355746,IF
"Mitchell, Garrett",669003,158,MIL,CF,27,142,48.0,4.08,29.8,1.9733776298753067,0.01389702556250216,OF
"Buxton, Byron",621439,142,MIN,CF,32,98,33.0,4.14,29.8,0.2081822610485152,0.0021243087862093386,OF
"Turner, Trea",607208,143,PHI,SS,33,155,59.0,4.26,29.8,2.75591798385418,0.017780116024865678,IF
"Straw, Myles",664702,141,TOR,CF,31,72,26.0,4.16,29.7,0.7565265385640628,0.010507313035611983,OF
"Nuñez, Nasim",683083,120,WSH,2B,25,138,48.0,4.16,29.8,5.68525144583643,0.041197474245191525,IF
"Scott II, Victor",687363,138,STL,CF,25,70,29.0,4.16,29.7,1.158437448343714,0.0165491064049102,OF
"Carroll, Corbin",682998,109,AZ,RF,25,152,44.0,4.13,29.7,5.047477059018891,0.033207085914597964,OF
"Hill, Derek",656537,143,PHI,CF,30,43,12.0,4.27,29.6,1.013741142235299,0.02357537540082091,OF
"Crawford, Justin",702222,143,PHI,CF,22,134,53.0,4.16,29.6,0.717758684330857,0.005356408092021321,OF
"Crow-Armstrong, Pete",691718,112,CHC,CF,24,140,29.0,4.26,29.5,3.7198758358755777,0.026570541684825554,OF
"Simpson, Chandler",802415,139,TB,LF,25,223,79.0,3.98,29.5,6.172686974144408,0.027680210646387482,OF
"Mangum, Jake",663968,134,PIT,CF,30,148,37.0,4.04,29.5,1.4322323197643945,0.009677245403813477,OF
"Ewing, A.J.",805999,121,NYM,CF,21,97,29.0,4.15,29.4,0.2863937529801924,0.0029525129173215707,OF
"Tolbert, Tyler",686475,118,KC,SS,28,38,5.0,4.27,29.4,0.9995571762556948,0.026304136217255126,IF
