"last_name, first_name","player_id","name_abbrev","team_id","position_name","age","bat_side","seconds_since_hit_000","seconds_since_hit_005","seconds_since_hit_010","seconds_since_hit_015","seconds_since_hit_020","seconds_since_hit_025","seconds_since_hit_030","seconds_since_hit_035","seconds_since_hit_040","seconds_since_hit_045","seconds_since_hit_050","seconds_since_hit_055","seconds_since_hit_060","seconds_since_hit_065","seconds_since_hit_070","seconds_since_hit_075","seconds_since_hit_080","seconds_since_hit_085","seconds_since_hit_090"
"Abrams, CJ","682928","WSH","120","SS","25","L","0.00","0.53","0.83","1.08","1.31","1.52","1.72","1.92","2.11","2.29","2.47","2.64","2.81","2.98","3.15","3.32","3.48","3.66","3.84"
"Abreu, Wilyer","677800","BOS","111","RF","27","L","0.00","0.55","0.86","1.12","1.35","1.57","1.77","1.97","2.16","2.34","2.52","2.69","2.87","3.04","3.21","3.38","3.55","3.72","3.90"
"Acuña Jr., Ronald","660670","ATL","144","RF","28","R","0.00","0.55","0.86","1.12","1.35","1.56","1.77","1.96","2.15","2.34","2.52","2.69","2.87","3.04","3.22","3.39","3.56","3.74","3.93"
"Acuña, Luisangel","682668","CWS","145","SS","24","R","0.00","0.55","0.85","1.10","1.33","1.54","1.73","1.92","2.11","2.29","2.46","2.63","2.80","2.97","3.13","3.29","3.46","3.62","3.79"
"Adames, Willy","642715","SF","137","SS","30","R","0.00","0.56","0.88","1.15","1.39","1.62","1.83","2.03","2.22","2.41","2.60","2.78","2.96","3.14","3.31","3.49","3.66","3.83","4.01"
"Adell, Jo","666176","LAA","108","RF","27","R","0.00","0.54","0.85","1.11","1.34","1.56","1.77","1.97","2.16","2.35","2.53","2.71","2.89","3.06","3.24","3.41","3.58","3.75","3.93"
"Albies, Ozzie","645277","ATL","144","2B","29","L","0.00","0.54","0.84","1.10","1.33","1.55","1.75","1.95","2.14","2.33","2.52","2.70","2.88","3.06","3.24","3.42","3.60","3.79","3.99"
"Albies, Ozzie","645277","ATL","144","2B","29","R","0.00","0.56","0.89","1.15","1.39","1.61","1.82","2.02","2.22","2.40","2.59","2.77","2.95","3.13","3.31","3.48","3.66","3.84","4.03"
"Alexander, Blaze","677942","BAL","110","3B","27","R","0.00","0.55","0.87","1.13","1.36","1.58","1.78","1.98","2.17","2.35","2.53","2.71","2.89","3.06","3.23","3.40","3.57","3.74","3.92"
"Allen, Nick","669397","HOU","117","SS","27","R","0.00","0.55","0.87","1.13","1.37","1.60","1.81","2.02","2.22","2.41","2.61","2.79","2.98","3.17","3.35","3.53","3.72","3.91","4.10"
"Alonso, Pete","624413","BAL","110","1B","31","R","0.00","0.57","0.91","1.20","1.45","1.69","1.92","2.13","2.34","2.55","2.75","2.95","3.15","3.34","3.53","3.73","3.92","4.11","4.32"
"Altuve, Jose","514888","HOU","117","2B","36","R","0.00","0.55","0.86","1.12","1.35","1.57","1.77","1.97","2.16","2.35","2.53","2.71","2.88","3.06","3.23","3.41","3.58","3.76","3.94"
"Alvarez, Francisco","682626","NYM","121","C","24","R","0.00","0.56","0.89","1.17","1.42","1.65","1.87","2.08","2.29","2.48","2.68","2.87","3.06","3.25","3.44","3.62","3.81","4.00","4.19"
"Alvarez, Yordan","670541","HOU","117","DH","29","L","0.00","0.54","0.85","1.13","1.37","1.60","1.82","2.03","2.23","2.43","2.62","2.81","3.01","3.20","3.38","3.57","3.77","3.97","4.17"
"Amaya, Miguel","665804","CHC","112","C","27","R","0.00","0.58","0.93","1.22","1.47","1.71","1.94","2.16","2.37","2.57","2.77","2.97","3.17","3.36","3.55","3.75","3.94","4.14","4.34"
"Andujar, Miguel","609280","SD","135","DH","31","R","0.00","0.56","0.88","1.15","1.39","1.61","1.82","2.02","2.21","2.40","2.58","2.76","2.94","3.12","3.29","3.47","3.64","3.82","4.00"
"Anthony, Roman","701350","BOS","111","LF","22","L","0.00","0.56","0.87","1.13","1.37","1.59","1.80","2.00","2.20","2.39","2.58","2.76","2.94","3.12","3.31","3.48","3.66","3.84","4.04"
"Antonacci, Sam","803011","CWS","145","LF","23","L","0.00","0.53","0.84","1.09","1.33","1.54","1.75","1.95","2.14","2.33","2.51","2.69","2.87","3.04","3.21","3.39","3.56","3.75","3.94"
