"last_name, first_name","player_id","team_id","team","position","age","competitive_runs","bolts","hp_to_1b","sprint_speed"
"Bolte, Henry",703607,133,"ATH","CF",22,"100","64","4.16","30.6"
"Cauley, Cam",695508,140,"TEX","CF",23,"18","11","4.13","30.4"
"Mateo, Jorge",622761,144,"ATL","SS",31,"51","28","4.12","30.3"
"White, Eli",642201,144,"ATL","RF",32,"75","39","4.22","30.3"
"Witt Jr., Bobby",677951,118,"KC","SS",26,"144","71","4.16","30.3"
"Troy, Tommy",694371,109,"AZ","LF",24,"54","29","4.16","30.1"
"Griffin, Konnor",804606,134,"PIT","SS",20,"108","48","4.27","29.9"
"McCarthy, Jake",664983,115,"COL","CF",28,"168","63","4.18","29.9"
"Acuña, Luisangel",682668,145,"CWS","SS",24,"88","38","4.21","29.8"
"Siri, Jose",642350,108,"LAA","CF",30,"46","17","4.21","29.8"
"Mitchell, Garrett",669003,158,"MIL","CF",27,"142","48","4.08","29.8"
"Buxton, Byron",621439,142,"MIN","CF",32,"98","33","4.14","29.8"
"Turner, Trea",607208,143,"PHI","SS",33,"155","59","4.26","29.8"
"Straw, Myles",664702,141,"TOR","CF",31,"72","26","4.16","29.7"
"Nuñez, Nasim",683083,120,"WSH","2B",25,"138","48","4.16","29.8"
"Scott II, Victor",687363,138,"STL","CF",25,"70","29","4.16","29.7"
"Carroll, Corbin",682998,109,"AZ","RF",25,"152","44","4.13","29.7"
"Hill, Derek",656537,143,"PHI","CF",30,"43","12","4.27","29.6"
"Crawford, Justin",702222,143,"PHI","CF",22,"134","53","4.16","29.6"
"Dunn, Blake",694362,113,"CIN","CF",27,"58","27","4.21","29.6"
"Teodosio, Bryce",669326,108,"LAA","LF",27,"17","4","4.22","29.6"
"Fernandez, Jose",699912,109,"AZ","1B",22,"61","9","4.34","29.5"
"Crow-Armstrong, Pete",691718,112,"CHC","CF",24,"140","29","4.26","29.5"
"Simpson, Chandler",802415,139,"TB","LF",25,"223","79","3.98","29.5"
"Ruiz, Esteury",665923,146,"MIA","LF",27,"35","12",,"29.5"
"Cook, Billy",695257,134,"PIT","CF",27,"20","4",,"29.5"
"Eaton, Nate",681987,111,"BOS","LF",29,"14","6",,"29.5"
"Mangum, Jake",663968,134,"PIT","CF",30,"148","37","4.04","29.5"
"Ewing, A.J.",805999,121,"NYM","CF",21,"97","29","4.15","29.4"
"Tolbert, Tyler",686475,118,"KC","SS",28,"38","5","4.27","29.4"
"Bowen, Jase",687749,135,"SD","RF",25,"20","8",,"29.4"
"Hamilton, David",666152,158,"MIL","3B",28,"78","43","4.02","29.4"
"Crews, Dylan",686611,120,"WSH","RF",24,"87","4","4.28","29.3"
"Lile, Daylen",695734,120,"WSH","LF",23,"151","23","4.21","29.3"
"Young, Jacob",696285,120,"WSH","CF",26,"121","20","4.30","29.3"
"Smith, Cam",701358,117,"HOU","RF",23,"143","24","4.37","29.2"
